src,tic_id,toi_id,Disposition,RA,Dec,Tmag,Tmag Err,Epoc,Epoc Err,Period,Period Err,Duration,Duration Err,Transit Depth,Transit Depth Err,Sectors,Created,Updated
qlp,141214397,?.01,V,82.11034,-72.16311,13.291,0.018,1326.693975,0,1.220511,0,4.373335,0,2510,0,2,2018-09-28 18:08:54.087635+00:00,2018-10-05 15:47:22.649330+00:00
qlp,272125637,?.01,IS,115.69256,-75.1349,12.862,0.018,1326.332001,0,13.626625,0,10.811909,0,6800,0,2,2018-09-28 18:08:54.176953+00:00,2018-10-05 15:47:22.644793+00:00
qlp,10000275925,?.01,IS,91.53035,-67.09721,12.912,0.008,1355.071985,0,1.170307,0,3.168817,0,1860,0,2,2018-09-28 18:08:54.264759+00:00,2018-10-05 15:47:22.640286+00:00
qlp,10001499933,?.01,IS,103.04584,-59.02802,13.482,1,1354.25089,0,0.204238,0,0.049066,0,10000,0,2,2018-09-28 18:08:54.419698+00:00,2018-10-05 15:47:22.635754+00:00
qlp,30313761,?.01,V,74.25342,-66.92793,12.927,0.018,1326.037835,0,1.28374,0,4.379915,0,2370,0,2,2018-09-28 18:08:54.464242+00:00,2018-10-05 15:47:22.631251+00:00
qlp,30109826,?.01,EB,73.53016,-67.04589,13.004,0.018,1325.992668,0,1.720556,0,5.802954,0,3250,0,2,2018-09-28 18:08:54.531611+00:00,2018-10-05 15:47:22.626761+00:00
qlp,10000440866,?.01,EB,90.19795,-64.93427,13.234,0.17,1326.171993,0,2.411753,0,4.205133,0,18860,0,2,2018-09-28 18:08:54.553645+00:00,2018-10-05 15:47:22.622296+00:00
qlp,183495155,?.01,IS,18.86927,-73.33057,12.042,0.046,1354.356392,0,0.96696,0,2.905986,0,2940,0,2,2018-09-28 18:08:54.714325+00:00,2018-10-05 15:47:22.617779+00:00
qlp,182730156,?.01,EB,15.939,-72.13029,11.769,0.018,1325.766225,0,3.336254,0,4.24932,0,3020,0,2,2018-09-28 18:08:54.781145+00:00,2018-10-05 15:47:22.613312+00:00
qlp,183803532,?.01,IS,20.97362,-73.86407,13.029,0.75,1327.673484,0,2.410942,0,5.920502,0,4670,0,2,2018-09-28 18:08:54.803302+00:00,2018-10-05 15:47:22.608809+00:00
qlp,281667172,?.01,IS,10.11049,-59.45468,9.742,0.215,1330.123178,0,18.109738,0,11.135316,0,36740,0,2,2018-09-28 18:08:54.892514+00:00,2018-10-05 15:47:22.604330+00:00
qlp,150394439,?.01,EB,96.80383,-62.77195,12.754,0.151,1327.395814,0,3.524086,0,2.506894,0,3990,0,2,2018-09-28 18:08:59.720037+00:00,2018-10-05 15:47:22.599848+00:00
qlp,182910091,?.01,EB,16.43358,-72.47707,12.857,0.046,1326.122631,0,1.343233,0,3.531628,0,3600,0,2,2018-09-28 18:08:59.853917+00:00,2018-10-05 15:47:22.595311+00:00
qlp,262039186,?.01,V,339.63482,-20.83356,8.921,0.018,1355.473807,0,3.227412,0,10.71475,0,2770,0,2,2018-09-28 18:08:54.981440+00:00,2018-10-05 15:47:22.590850+00:00
qlp,206563675,?.01,IS,19.97828,-55.11105,13.489,0.019,1354.67223,0,1.025194,0,1.067842,0,13670,0,2,2018-09-28 18:08:55.250288+00:00,2018-10-05 15:47:22.586399+00:00
qlp,141423643,?.01,IS,84.61532,-74.22027,12.968,0.018,1326.042485,0,0.949085,0,3.893678,0,1310,0,2,2018-09-28 18:08:55.342940+00:00,2018-10-05 15:47:22.581812+00:00
qlp,373847529,?.01,EB,81.94188,-66.09995,13.227,0.017,1325.716019,0,0.392257,0,3.363871,0,4380,0,2,2018-09-28 18:08:55.530862+00:00,2018-10-05 15:47:22.577274+00:00
qlp,140757576,?.01,V,74.38591,-72.12492,13.439,0.018,1325.750998,0,0.209158,0,1.666973,0,7590,0,2,2018-09-28 18:08:55.771099+00:00,2018-10-05 15:47:22.572813+00:00
qlp,237979468,?.01,PC,102.26973,-52.50468,12.512,0.018,1355.55123,0,4.561201,0,3.112199,0,15230,0,2,2018-09-28 18:08:55.859706+00:00,2018-10-05 15:47:22.568328+00:00
