src,tic_id,toi_id,Disposition,RA,Dec,Tmag,Tmag Err,Epoc,Epoc Err,Period,Period Err,Duration,Duration Err,Transit Depth,Transit Depth Err,Sectors,Created,Updated
spoc,280793949,?.02,EB,359.396151,-64.298242,5.002,0.043,1325.485763,0.000842,0.501635,3.5e-05,1.010768,0.079631,142.405703,11.882441,1,2018-08-30 14:18:01.238679+00:00,2018-08-31 20:58:45.560218+00:00
spoc,79403675,?.01,IS,320.208121,-53.034181,7.992,0.018,1335.327005,0.001269,12.816051,0.002429,2.502382,0.149968,1782.741895,231.01337,1,2018-08-30 14:17:28.026959+00:00,2018-08-31 20:58:45.555492+00:00
spoc,234290432,?.01,IS,356.945618,-65.290262,10.406,0.018,1329.397647,0.003643,8.414248,0.002838,4.602346,0.439536,1610.145811,265.3166,1,2018-08-30 14:17:51.843616+00:00,2018-08-31 20:58:45.550749+00:00
spoc,278661431,?.01,PC,328.8156,-66.0907,12.436,0.04,1326.268557,0.003832,17.674123,0.005336,6.575945,0.278776,10626.977573,605.7411,1,2018-08-30 14:18:00.031104+00:00,2018-08-31 20:58:45.545964+00:00
spoc,197570458,?.02,EB,325.994161,-38.017428,13.045,0.018,1330.003938,0.001574,7.618315,0.000859,1.500401,0.110875,16536.157839,1301.8728,1,2018-08-30 14:17:41.715519+00:00,2018-08-31 20:58:45.541313+00:00
spoc,206609630,00212.01,PC,22.551,-59.5832,12.186,0.04,1325.491483,0.000139,0.335265,3e-06,0.707574,0.014791,18122.370556,320.87085,1,2018-08-30 14:17:43.680280+00:00,2018-08-31 20:58:45.536520+00:00
spoc,219338901,?.02,EB,354.712852,-59.179302,15.058,0.018,1332.879551,0.005862,11.769845,0.008145,3.410332,0.528617,47479.776273,5179.076,1,2018-08-30 14:17:48.404076+00:00,2018-08-31 20:58:45.531642+00:00
spoc,141186075,?.01,PC,81.329516,-75.692445,6.634,0.019,1329.20698,0.004132,20.53429,0.006052,4.592707,1.067165,159.579464,22.499514,1,2018-08-30 14:17:34.896266+00:00,2018-08-31 20:58:45.526885+00:00
spoc,410214984,?.02,PC,354.913689,-69.194337,8.607,0.028,1327.322317,0.000709,13.126325,0.000964,3.296538,0.068493,10591.755547,472.66818,1,2018-08-30 14:18:14.535429+00:00,2018-08-31 20:58:45.522012+00:00
spoc,410214984,?.01,IS,354.913689,-69.194337,8.607,0.028,1332.309748,0.000676,16.27541,0.001397,3.314776,0.083434,12132.761063,585.36334,1,2018-08-30 14:18:14.521159+00:00,2018-08-31 20:58:45.517162+00:00
spoc,197596346,?.01,PC,327.075857,-37.553314,9.902,0.018,1330.76992,0.005758,8.416159,0.005103,4.838418,0.475359,1608.84199,202.85164,1,2018-08-30 14:17:41.754170+00:00,2018-08-31 20:58:45.512463+00:00
spoc,97402522,?.02,EB,332.517813,-32.21849,10.489,0.018,1325.447585,0.001804,0.266822,3.6e-05,1.524615,0.309348,352.593841,33.793312,1,2018-08-30 14:17:32.516882+00:00,2018-08-31 20:58:45.507519+00:00
spoc,197977189,?.01,PC,348.909196,-49.909578,10.676,0.018,1327.392851,0.00581,15.630251,0.007101,3.050307,0.685285,1226.412755,158.98131,1,2018-08-30 14:17:42.091825+00:00,2018-08-31 20:58:45.501910+00:00
spoc,263074592,?.01,EB,16.409073,-80.061371,9.263,0.019,1329.352902,0.002607,8.07031,0.00211,4.259287,0.148779,13954.758849,1048.4757,1,2018-08-30 14:17:56.009323+00:00,2018-08-31 20:47:07.610881+00:00
spoc,281582156,?.01,EB,115.928652,-61.121476,9.95,0.02,1332.140381,0.002358,13.136226,0.00356,6.077718,0.223695,4385.376178,622.0886,1,2018-08-30 14:18:01.507153+00:00,2018-08-31 20:45:39.564277+00:00
spoc,25155310,00114.01,PC,63.37389,-69.226789,10.555,0.018,1327.520891,0.000465,3.288671,0.000115,3.41776,0.042486,7109.15321,70.413155,1,2018-08-30 14:17:21.610143+00:00,2018-08-31 20:38:10.446385+00:00
spoc,25375553,00143.01,PC,328.767654,-22.612566,9.772,0.019,1325.58249,0.000343,2.310894,5.5e-05,3.422324,0.025078,6939.353936,46.406292,1,2018-08-30 14:17:21.901313+00:00,2018-08-31 20:38:10.441603+00:00
spoc,29344935,00109.01,PC,313.21548,-25.687338,13.18,0.019,1326.127529,0.001296,2.766737,0.000254,2.568721,0.112022,15691.951167,490.08105,1,2018-08-30 14:17:22.071571+00:00,2018-08-31 20:38:10.436884+00:00
spoc,29831208,00124.01,PC,66.582618,-67.806508,11.04,0.018,1326.54449,0.001609,1.842906,0.000197,1.643399,0.099229,2420.543417,305.80362,1,2018-08-30 14:17:22.254113+00:00,2018-08-31 20:38:10.432076+00:00
spoc,29430569,?.02,V,313.5976,-29.7937,13.59,0.059,1325.439112,0.00381,0.346879,8.4e-05,3.012662,0.445206,6817.73776,632.0114,1,2018-08-30 14:17:22.940085+00:00,2018-08-31 20:38:10.427404+00:00
spoc,29984014,?.01,V,72.732721,-69.431275,10.21,0.018,1326.146752,0.002634,1.085645,0.000197,3.33486,0.461754,636.405069,62.737965,1,2018-08-30 14:17:23.297210+00:00,2018-08-31 20:38:10.422684+00:00
spoc,97409519,00113.01,PC,332.714323,-30.749674,12.143,0.018,1327.053085,0.000623,3.372877,0.000147,2.63426,0.043644,17163.604187,212.40587,1,2018-08-30 14:17:32.556670+00:00,2018-08-31 20:38:10.418002+00:00
spoc,126890217,?.01,IS,317.579189,-43.767515,10.703,0.019,1333.970779,0.002702,11.075306,0.003843,2.080996,0.738768,1631.303458,187.84218,1,2018-08-30 14:17:33.449403+00:00,2018-08-31 20:38:10.413293+00:00
spoc,139148528,?.01,PC,344.622649,-44.716905,10.226,0.017,1326.329129,0.004866,8.280716,0.00256,3.462234,0.579783,636.193904,72.903305,1,2018-08-30 14:17:33.786193+00:00,2018-08-31 20:38:10.408524+00:00
spoc,139148616,?.01,V,344.492963,-45.158306,7.361,0.018,1325.394702,0.002019,1.164671,0.000165,3.517394,0.181453,174.891655,17.329084,1,2018-08-30 14:17:33.841059+00:00,2018-08-31 20:38:10.403747+00:00
spoc,139198430,?.01,PC,345.631132,-46.085194,9.267,0.017,1333.091592,0.000963,15.358448,0.001786,1.963987,0.176434,3913.418834,1501.6958,1,2018-08-30 14:17:33.938152+00:00,2018-08-31 20:38:10.399049+00:00
spoc,139256217,?.01,EB,347.190297,-46.110195,10.986,0.018,1325.349211,0.00034,2.199237,4.7e-05,3.824894,0.022198,18689.258348,150.94536,1,2018-08-30 14:17:34.067410+00:00,2018-08-31 20:38:10.394333+00:00
spoc,140068425,00140.01,PC,330.301574,-49.060026,9.806,0.041,1327.399305,0.001311,2.28139,0.000207,0.859711,0.116683,1077.390775,98.91284,1,2018-08-30 14:17:34.586146+00:00,2018-08-31 20:38:10.389572+00:00
spoc,143822655,?.01,V,330.813766,-48.27018,8.492,0.02,1326.344809,0.001838,10.605228,0.001695,1.975654,0.388982,1085.74874,207.0512,1,2018-08-30 14:17:35.728417+00:00,2018-08-31 20:38:10.384789+00:00
spoc,143855290,?.01,EB,331.721108,-50.521168,10.159,0.019,1329.688614,0.006727,7.637157,0.003675,5.361367,0.492748,770.288798,76.68603,1,2018-08-30 14:17:35.768644+00:00,2018-08-31 20:38:10.380002+00:00
spoc,144065872,00105.01,PC,337.457199,-48.003087,9.48,0.02,1326.50599,0.000156,2.184659,2.3e-05,2.869426,0.012752,11836.691223,46.940147,1,2018-08-30 14:17:35.947690+00:00,2018-08-31 20:38:10.375312+00:00
spoc,144193715,?.01,PC,327.753509,-43.56234,10.296,0.018,1333.422339,0.004432,9.15533,0.003425,2.53369,0.554059,790.71982,104.34312,1,2018-08-30 14:17:35.987253+00:00,2018-08-31 20:38:10.370545+00:00
spoc,149102762,?.01,EB,80.436095,-65.775909,12.553,0.041,1325.827542,0.003389,1.47596,0.000324,3.607619,0.330192,2856.928132,341.1884,1,2018-08-30 14:17:36.568006+00:00,2018-08-31 20:38:10.365759+00:00
spoc,149346418,?.02,EB,83.406413,-62.489789,3.26,0.284,1325.397823,-1.0,12.011107,-1.0,5.0,-1.0,104.404384,-1.0,1,2018-08-30 14:17:36.925381+00:00,2018-08-31 20:38:10.361048+00:00
spoc,149603524,00102.01,PC,87.139956,-63.988427,9.716,0.018,1326.078556,0.000193,4.411998,5.6e-05,3.76528,0.01738,14057.894765,58.906956,1,2018-08-30 14:17:37.087615+00:00,2018-08-31 20:38:10.356329+00:00
spoc,150098860,00220.01,PC,91.799884,-61.996896,9.656,0.018,1335.903081,0.003061,10.691896,0.004369,2.178634,0.856653,816.644294,108.34866,1,2018-08-30 14:17:37.227523+00:00,2018-08-31 20:38:10.351603+00:00
spoc,150187916,?.03,IS,93.71412,-62.283981,7.787,0.017,1328.664478,0.002905,8.283935,0.002779,0.842792,0.231016,1740.212769,324.50696,1,2018-08-30 14:17:37.781850+00:00,2018-08-31 20:38:10.346907+00:00
spoc,152283270,?.01,PC,329.231426,-35.35973,7.503,0.018,1336.362995,0.003306,11.25259,0.005003,9.210206,0.283335,553.087146,35.12148,1,2018-08-30 14:17:38.649825+00:00,2018-08-31 20:38:10.341984+00:00
spoc,31273263,?.01,IS,88.103635,-68.159538,10.751,0.018,1336.66161,0.013909,12.033322,0.025261,18.184862,7.049051,5614.640091,6276.7783,1,2018-08-30 14:17:24.101849+00:00,2018-08-31 20:38:10.337209+00:00
spoc,38815338,?.01,IS,67.9485,-63.022,13.357,0.04,1325.710928,0.014044,14.642762,0.01979,12.563305,1.405527,4393.472921,498.54318,1,2018-08-30 14:17:25.197997+00:00,2018-08-31 20:38:10.332527+00:00
spoc,38820496,?.01,PC,7.195155,-67.862396,13.653,0.071,1325.66251,0.000582,0.655279,2.6e-05,0.687273,0.045281,15495.679527,1146.4823,1,2018-08-30 14:17:25.263606+00:00,2018-08-31 20:38:10.327802+00:00
spoc,38846515,00106.01,PC,68.959732,-64.02704,10.307,0.019,1326.744466,0.000429,2.849493,8e-05,3.78965,0.029688,7472.305143,54.425674,1,2018-08-30 14:17:25.332936+00:00,2018-08-31 20:38:10.323001+00:00
spoc,50309953,?.01,EB,30.19722,-77.610241,9.782,0.02,1326.456649,0.002545,3.522436,0.000617,2.492297,0.375142,678.746494,52.063705,1,2018-08-30 14:17:25.942308+00:00,2018-08-31 20:38:10.318284+00:00
spoc,52195943,?.01,PC,19.121205,-67.43106,6.543,0.017,1325.428494,0.000804,0.794739,4.8e-05,0.870889,0.07423,195.652311,13.652811,1,2018-08-30 14:17:26.236036+00:00,2018-08-31 20:38:10.313593+00:00
spoc,52368076,00125.01,PC,23.594697,-66.67583,10.138,0.017,1327.432505,0.002451,4.6539,0.00082,2.948609,0.36995,1050.78792,70.05792,1,2018-08-30 14:17:26.326060+00:00,2018-08-31 20:38:10.308765+00:00
spoc,52368076,00125.02,PC,23.594697,-66.67583,10.138,0.017,1334.456322,0.002484,9.151371,0.001994,2.912701,0.549834,949.03041,86.223915,1,2018-08-30 14:17:26.340728+00:00,2018-08-31 20:38:10.304073+00:00
spoc,53812109,?.01,PC,327.116127,-26.235375,8.082,0.017,1333.260911,0.002298,16.415881,0.003395,1.514595,0.484092,431.466824,56.259304,1,2018-08-30 14:17:26.422317+00:00,2018-08-31 20:38:10.299213+00:00
spoc,55652896,00216.01,PC,73.980231,-63.260063,11.504,0.018,1331.283764,0.002203,11.178534,0.003047,5.517604,0.183072,10914.288337,332.69583,1,2018-08-30 14:17:27.200511+00:00,2018-08-31 20:38:10.294527+00:00
spoc,61710094,?.01,PC,335.4723,-31.5229,10.996,0.04,1326.239251,0.002024,1.838779,0.000258,0.743243,0.483167,1090.247261,173.00429,1,2018-08-30 14:17:27.411858+00:00,2018-08-31 20:38:10.289599+00:00
spoc,62483237,00139.01,PC,336.402307,-34.909623,9.295,0.02,1334.896388,0.001811,11.058421,0.00257,2.136519,0.327214,1367.122742,100.4967,1,2018-08-30 14:17:27.451171+00:00,2018-08-31 20:38:10.284855+00:00
